question_id,scene_id,image_path,question_type,question,choice_a,choice_b,choice_c,choice_d,answer_label,difficulty,visibility,layout_family,ood_axis,trace_best_quadrant,trace_contamination_quadrant,trace_usable_holes,trace_crack_orientation,trace_dominant_ice,trace_fiducial_count
raw_q_f5a1e00608a2af,raw_grid_00003,images/raw_grid_00003.png,contamination_quadrant,Which quadrant contains the strongest contamination cluster?,upper left,upper right,lower left,lower right,A,hard,crowded,offset,ice_rings,lower_left,upper_left,13,horizontal,thin,2
raw_q_cc2a19d7ed76b5,raw_grid_00004,images/raw_grid_00004.png,fiducial_count,How many bright gold fiducial beads are visible?,0,1,2,3 or more,B,hard,frosty,compressed,standard,lower_left,upper_right,11,vertical,mixed,1
raw_q_e3e9b8e5ac9bd0,raw_grid_00004,images/raw_grid_00004.png,best_quadrant,Which quadrant contains the most usable thin-or-medium ice holes?,upper left,upper right,lower left,lower right,C,hard,frosty,compressed,standard,lower_left,upper_right,11,vertical,mixed,1
raw_q_a6f572d2d4e3a6,raw_grid_00004,images/raw_grid_00004.png,contamination_quadrant,Which quadrant contains the strongest contamination cluster?,upper left,upper right,lower left,lower right,B,hard,frosty,compressed,standard,lower_left,upper_right,11,vertical,mixed,1
raw_q_86256a9df5e213,raw_grid_00005,images/raw_grid_00005.png,ice_thickness,What is the dominant ice thickness condition?,thin,medium,thick,mixed,A,medium,frosty,compressed,carbon_shadow,lower_left,upper_left,10,none,thin,4
raw_q_234957437f7ace,raw_grid_00005,images/raw_grid_00005.png,usable_hole_count,How many usable holes are visible in the grid square?,0-3,4-6,7-9,10 or more,D,medium,frosty,compressed,carbon_shadow,lower_left,upper_left,10,none,thin,4
raw_q_9a6b9dea94bb74,raw_grid_00005,images/raw_grid_00005.png,crack_orientation,What is the dominant crack orientation?,no dominant crack,horizontal,vertical,diagonal,A,medium,frosty,compressed,carbon_shadow,lower_left,upper_left,10,none,thin,4
raw_q_705c19ac727344,raw_grid_00006,images/raw_grid_00006.png,ice_thickness,What is the dominant ice thickness condition?,thin,medium,thick,mixed,D,medium,low_dose,square,standard,upper_left,lower_right,11,horizontal,mixed,2
raw_q_5cafdf291d0caa,raw_grid_00006,images/raw_grid_00006.png,fiducial_count,How many bright gold fiducial beads are visible?,0,1,2,3 or more,C,medium,low_dose,square,standard,upper_left,lower_right,11,horizontal,mixed,2
raw_q_3e5730b59b19c9,raw_grid_00006,images/raw_grid_00006.png,contamination_quadrant,Which quadrant contains the strongest contamination cluster?,upper left,upper right,lower left,lower right,D,medium,low_dose,square,standard,upper_left,lower_right,11,horizontal,mixed,2
raw_q_3a33989e81e744,raw_grid_00007,images/raw_grid_00007.png,usable_hole_count,How many usable holes are visible in the grid square?,0-3,4-6,7-9,10 or more,D,medium,crowded,square,carbon_shadow,lower_right,lower_left,13,diagonal,thin,1
raw_q_a8a316ba82ad5c,raw_grid_00007,images/raw_grid_00007.png,best_quadrant,Which quadrant contains the most usable thin-or-medium ice holes?,upper left,upper right,lower left,lower right,D,medium,crowded,square,carbon_shadow,lower_right,lower_left,13,diagonal,thin,1
raw_q_f299e1281a2418,raw_grid_00007,images/raw_grid_00007.png,contamination_quadrant,Which quadrant contains the strongest contamination cluster?,upper left,upper right,lower left,lower right,C,medium,crowded,square,carbon_shadow,lower_right,lower_left,13,diagonal,thin,1
raw_q_2fd8d1237292c8,raw_grid_00008,images/raw_grid_00008.png,fiducial_count,How many bright gold fiducial beads are visible?,0,1,2,3 or more,A,easy,clear,square,standard,lower_left,upper_right,14,horizontal,medium,0
raw_q_6605a4b95f8e7f,raw_grid_00008,images/raw_grid_00008.png,ice_thickness,What is the dominant ice thickness condition?,thin,medium,thick,mixed,B,easy,clear,square,standard,lower_left,upper_right,14,horizontal,medium,0
raw_q_382922ae22f170,raw_grid_00008,images/raw_grid_00008.png,best_quadrant,Which quadrant contains the most usable thin-or-medium ice holes?,upper left,upper right,lower left,lower right,C,easy,clear,square,standard,lower_left,upper_right,14,horizontal,medium,0
raw_q_03aeb057fbb496,raw_grid_00009,images/raw_grid_00009.png,contamination_quadrant,Which quadrant contains the strongest contamination cluster?,upper left,upper right,lower left,lower right,C,medium,crowded,compressed,ice_rings,upper_left,lower_left,12,diagonal,thin,4
raw_q_19d4ed24eac1e0,raw_grid_00009,images/raw_grid_00009.png,crack_orientation,What is the dominant crack orientation?,no dominant crack,horizontal,vertical,diagonal,D,medium,crowded,compressed,ice_rings,upper_left,lower_left,12,diagonal,thin,4
raw_q_946ecab1754d34,raw_grid_00009,images/raw_grid_00009.png,fiducial_count,How many bright gold fiducial beads are visible?,0,1,2,3 or more,D,medium,crowded,compressed,ice_rings,upper_left,lower_left,12,diagonal,thin,4
raw_q_a468598db9a804,raw_grid_00010,images/raw_grid_00010.png,contamination_quadrant,Which quadrant contains the strongest contamination cluster?,upper left,upper right,lower left,lower right,B,medium,clear,compressed,beam_gradient,lower_right,upper_right,10,none,mixed,2
raw_q_6b8b8b3cc18fd9,raw_grid_00010,images/raw_grid_00010.png,ice_thickness,What is the dominant ice thickness condition?,thin,medium,thick,mixed,D,medium,clear,compressed,beam_gradient,lower_right,upper_right,10,none,mixed,2
raw_q_f64c9e3436fe1c,raw_grid_00010,images/raw_grid_00010.png,crack_orientation,What is the dominant crack orientation?,no dominant crack,horizontal,vertical,diagonal,A,medium,clear,compressed,beam_gradient,lower_right,upper_right,10,none,mixed,2
raw_q_891bd81f1cbe99,raw_grid_00011,images/raw_grid_00011.png,usable_hole_count,How many usable holes are visible in the grid square?,0-3,4-6,7-9,10 or more,C,medium,clear,compressed,standard,upper_left,lower_left,7,horizontal,mixed,2
raw_q_dbabb89cddd3da,raw_grid_00011,images/raw_grid_00011.png,contamination_quadrant,Which quadrant contains the strongest contamination cluster?,upper left,upper right,lower left,lower right,C,medium,clear,compressed,standard,upper_left,lower_left,7,horizontal,mixed,2
raw_q_4dfb5cd56693aa,raw_grid_00011,images/raw_grid_00011.png,best_quadrant,Which quadrant contains the most usable thin-or-medium ice holes?,upper left,upper right,lower left,lower right,A,medium,clear,compressed,standard,upper_left,lower_left,7,horizontal,mixed,2
raw_q_2e899fb57cc592,raw_grid_00012,images/raw_grid_00012.png,best_quadrant,Which quadrant contains the most usable thin-or-medium ice holes?,upper left,upper right,lower left,lower right,D,easy,clear,square,standard,lower_right,lower_left,13,horizontal,thin,1
raw_q_1b8213896bb797,raw_grid_00012,images/raw_grid_00012.png,contamination_quadrant,Which quadrant contains the strongest contamination cluster?,upper left,upper right,lower left,lower right,C,easy,clear,square,standard,lower_right,lower_left,13,horizontal,thin,1
raw_q_717647f4af5622,raw_grid_00012,images/raw_grid_00012.png,fiducial_count,How many bright gold fiducial beads are visible?,0,1,2,3 or more,B,easy,clear,square,standard,lower_right,lower_left,13,horizontal,thin,1
raw_q_aecc9c28b67c92,raw_grid_00013,images/raw_grid_00013.png,ice_thickness,What is the dominant ice thickness condition?,thin,medium,thick,mixed,A,medium,frosty,offset,beam_gradient,upper_left,lower_right,12,none,thin,3
raw_q_c9124f22cf6104,raw_grid_00013,images/raw_grid_00013.png,contamination_quadrant,Which quadrant contains the strongest contamination cluster?,upper left,upper right,lower left,lower right,D,medium,frosty,offset,beam_gradient,upper_left,lower_right,12,none,thin,3
raw_q_0812108cc5a3e7,raw_grid_00013,images/raw_grid_00013.png,crack_orientation,What is the dominant crack orientation?,no dominant crack,horizontal,vertical,diagonal,A,medium,frosty,offset,beam_gradient,upper_left,lower_right,12,none,thin,3
raw_q_1c27e03ae7bcf6,raw_grid_00014,images/raw_grid_00014.png,ice_thickness,What is the dominant ice thickness condition?,thin,medium,thick,mixed,A,medium,clear,compressed,standard,lower_left,upper_left,11,diagonal,thin,2
raw_q_9cd7ef50d7ed97,raw_grid_00014,images/raw_grid_00014.png,best_quadrant,Which quadrant contains the most usable thin-or-medium ice holes?,upper left,upper right,lower left,lower right,C,medium,clear,compressed,standard,lower_left,upper_left,11,diagonal,thin,2
raw_q_6017ace39b49bf,raw_grid_00014,images/raw_grid_00014.png,crack_orientation,What is the dominant crack orientation?,no dominant crack,horizontal,vertical,diagonal,D,medium,clear,compressed,standard,lower_left,upper_left,11,diagonal,thin,2
raw_q_ed90c26af4cff2,raw_grid_00015,images/raw_grid_00015.png,ice_thickness,What is the dominant ice thickness condition?,thin,medium,thick,mixed,D,easy,clear,offset,standard,upper_left,upper_right,7,horizontal,mixed,2
raw_q_8725fa0021fb1c,raw_grid_00015,images/raw_grid_00015.png,fiducial_count,How many bright gold fiducial beads are visible?,0,1,2,3 or more,C,easy,clear,offset,standard,upper_left,upper_right,7,horizontal,mixed,2
raw_q_1132b44371c180,raw_grid_00015,images/raw_grid_00015.png,contamination_quadrant,Which quadrant contains the strongest contamination cluster?,upper left,upper right,lower left,lower right,B,easy,clear,offset,standard,upper_left,upper_right,7,horizontal,mixed,2
raw_q_e4fc9705386f76,raw_grid_00016,images/raw_grid_00016.png,usable_hole_count,How many usable holes are visible in the grid square?,0-3,4-6,7-9,10 or more,D,medium,crowded,offset,standard,lower_left,upper_left,13,none,thin,2
raw_q_6474d057982c29,raw_grid_00016,images/raw_grid_00016.png,best_quadrant,Which quadrant contains the most usable thin-or-medium ice holes?,upper left,upper right,lower left,lower right,C,medium,crowded,offset,standard,lower_left,upper_left,13,none,thin,2
raw_q_9e610f29c19bf7,raw_grid_00016,images/raw_grid_00016.png,ice_thickness,What is the dominant ice thickness condition?,thin,medium,thick,mixed,A,medium,crowded,offset,standard,lower_left,upper_left,13,none,thin,2
raw_q_d8003535468dbe,raw_grid_00017,images/raw_grid_00017.png,crack_orientation,What is the dominant crack orientation?,no dominant crack,horizontal,vertical,diagonal,A,easy,clear,square,carbon_shadow,lower_left,upper_left,0,none,thick,0
raw_q_21854e68aea4e9,raw_grid_00017,images/raw_grid_00017.png,fiducial_count,How many bright gold fiducial beads are visible?,0,1,2,3 or more,A,easy,clear,square,carbon_shadow,lower_left,upper_left,0,none,thick,0
raw_q_14beadc3251370,raw_grid_00017,images/raw_grid_00017.png,contamination_quadrant,Which quadrant contains the strongest contamination cluster?,upper left,upper right,lower left,lower right,A,easy,clear,square,carbon_shadow,lower_left,upper_left,0,none,thick,0
raw_q_e083a92bc8da2c,raw_grid_00018,images/raw_grid_00018.png,contamination_quadrant,Which quadrant contains the strongest contamination cluster?,upper left,upper right,lower left,lower right,D,medium,crowded,square,beam_gradient,lower_left,lower_right,11,diagonal,medium,0
raw_q_c7efb2b24fa8f4,raw_grid_00018,images/raw_grid_00018.png,fiducial_count,How many bright gold fiducial beads are visible?,0,1,2,3 or more,A,medium,crowded,square,beam_gradient,lower_left,lower_right,11,diagonal,medium,0
raw_q_c70733c4e11f73,raw_grid_00018,images/raw_grid_00018.png,crack_orientation,What is the dominant crack orientation?,no dominant crack,horizontal,vertical,diagonal,D,medium,crowded,square,beam_gradient,lower_left,lower_right,11,diagonal,medium,0
raw_q_69a72d9259e75b,raw_grid_00019,images/raw_grid_00019.png,ice_thickness,What is the dominant ice thickness condition?,thin,medium,thick,mixed,B,hard,crowded,offset,beam_gradient,lower_left,upper_right,12,horizontal,medium,1
raw_q_a991af450719ef,raw_grid_00019,images/raw_grid_00019.png,fiducial_count,How many bright gold fiducial beads are visible?,0,1,2,3 or more,B,hard,crowded,offset,beam_gradient,lower_left,upper_right,12,horizontal,medium,1
raw_q_43f4cc79de9876,raw_grid_00019,images/raw_grid_00019.png,best_quadrant,Which quadrant contains the most usable thin-or-medium ice holes?,upper left,upper right,lower left,lower right,C,hard,crowded,offset,beam_gradient,lower_left,upper_right,12,horizontal,medium,1
raw_q_0271c0324bc507,raw_grid_00020,images/raw_grid_00020.png,crack_orientation,What is the dominant crack orientation?,no dominant crack,horizontal,vertical,diagonal,A,easy,clear,offset,standard,lower_left,lower_right,12,none,mixed,4
raw_q_00c7d152cfe7b1,raw_grid_00020,images/raw_grid_00020.png,best_quadrant,Which quadrant contains the most usable thin-or-medium ice holes?,upper left,upper right,lower left,lower right,C,easy,clear,offset,standard,lower_left,lower_right,12,none,mixed,4
raw_q_7edf6f64e0d834,raw_grid_00020,images/raw_grid_00020.png,usable_hole_count,How many usable holes are visible in the grid square?,0-3,4-6,7-9,10 or more,D,easy,clear,offset,standard,lower_left,lower_right,12,none,mixed,4
raw_q_1509701799a01e,raw_grid_00021,images/raw_grid_00021.png,crack_orientation,What is the dominant crack orientation?,no dominant crack,horizontal,vertical,diagonal,B,medium,clear,square,standard,lower_left,upper_left,10,horizontal,medium,1
raw_q_9ba648dcdb3bbd,raw_grid_00021,images/raw_grid_00021.png,usable_hole_count,How many usable holes are visible in the grid square?,0-3,4-6,7-9,10 or more,D,medium,clear,square,standard,lower_left,upper_left,10,horizontal,medium,1
raw_q_64f842d03cc019,raw_grid_00021,images/raw_grid_00021.png,best_quadrant,Which quadrant contains the most usable thin-or-medium ice holes?,upper left,upper right,lower left,lower right,C,medium,clear,square,standard,lower_left,upper_left,10,horizontal,medium,1
raw_q_e32d97a1c8471e,raw_grid_00022,images/raw_grid_00022.png,usable_hole_count,How many usable holes are visible in the grid square?,0-3,4-6,7-9,10 or more,D,easy,clear,square,standard,lower_right,upper_right,13,vertical,medium,3
raw_q_bf58e8b6df09ca,raw_grid_00022,images/raw_grid_00022.png,crack_orientation,What is the dominant crack orientation?,no dominant crack,horizontal,vertical,diagonal,C,easy,clear,square,standard,lower_right,upper_right,13,vertical,medium,3
raw_q_7805af01072a2c,raw_grid_00022,images/raw_grid_00022.png,fiducial_count,How many bright gold fiducial beads are visible?,0,1,2,3 or more,D,easy,clear,square,standard,lower_right,upper_right,13,vertical,medium,3
raw_q_18956ddecb4b07,raw_grid_00023,images/raw_grid_00023.png,usable_hole_count,How many usable holes are visible in the grid square?,0-3,4-6,7-9,10 or more,A,medium,frosty,offset,standard,lower_left,upper_left,0,horizontal,thick,1
raw_q_9ae6216ad35b17,raw_grid_00023,images/raw_grid_00023.png,crack_orientation,What is the dominant crack orientation?,no dominant crack,horizontal,vertical,diagonal,B,medium,frosty,offset,standard,lower_left,upper_left,0,horizontal,thick,1
raw_q_e4de21d2102e8c,raw_grid_00023,images/raw_grid_00023.png,fiducial_count,How many bright gold fiducial beads are visible?,0,1,2,3 or more,B,medium,frosty,offset,standard,lower_left,upper_left,0,horizontal,thick,1
raw_q_f6679557edb414,raw_grid_00024,images/raw_grid_00024.png,fiducial_count,How many bright gold fiducial beads are visible?,0,1,2,3 or more,C,easy,clear,offset,standard,lower_right,upper_right,13,diagonal,thin,2
raw_q_9f6dfd39a57e12,raw_grid_00024,images/raw_grid_00024.png,usable_hole_count,How many usable holes are visible in the grid square?,0-3,4-6,7-9,10 or more,D,easy,clear,offset,standard,lower_right,upper_right,13,diagonal,thin,2
raw_q_8fcb523e2b4f98,raw_grid_00024,images/raw_grid_00024.png,best_quadrant,Which quadrant contains the most usable thin-or-medium ice holes?,upper left,upper right,lower left,lower right,D,easy,clear,offset,standard,lower_right,upper_right,13,diagonal,thin,2
raw_q_47aea07228bfec,raw_grid_00025,images/raw_grid_00025.png,ice_thickness,What is the dominant ice thickness condition?,thin,medium,thick,mixed,A,medium,crowded,square,standard,lower_left,upper_left,13,vertical,thin,1
raw_q_2d05533d7e8180,raw_grid_00025,images/raw_grid_00025.png,fiducial_count,How many bright gold fiducial beads are visible?,0,1,2,3 or more,B,medium,crowded,square,standard,lower_left,upper_left,13,vertical,thin,1
raw_q_4350d4c1b8d08f,raw_grid_00025,images/raw_grid_00025.png,best_quadrant,Which quadrant contains the most usable thin-or-medium ice holes?,upper left,upper right,lower left,lower right,C,medium,crowded,square,standard,lower_left,upper_left,13,vertical,thin,1
raw_q_668a1555df7a94,raw_grid_00026,images/raw_grid_00026.png,best_quadrant,Which quadrant contains the most usable thin-or-medium ice holes?,upper left,upper right,lower left,lower right,C,hard,crowded,offset,carbon_shadow,lower_left,lower_right,0,none,thick,1
raw_q_b92c1a97e0f412,raw_grid_00026,images/raw_grid_00026.png,ice_thickness,What is the dominant ice thickness condition?,thin,medium,thick,mixed,C,hard,crowded,offset,carbon_shadow,lower_left,lower_right,0,none,thick,1
raw_q_5a300a235dbbbb,raw_grid_00026,images/raw_grid_00026.png,crack_orientation,What is the dominant crack orientation?,no dominant crack,horizontal,vertical,diagonal,A,hard,crowded,offset,carbon_shadow,lower_left,lower_right,0,none,thick,1
raw_q_07a6d93991f835,raw_grid_00027,images/raw_grid_00027.png,crack_orientation,What is the dominant crack orientation?,no dominant crack,horizontal,vertical,diagonal,D,hard,frosty,compressed,ice_rings,lower_right,lower_left,14,diagonal,medium,2
raw_q_6440886643a304,raw_grid_00027,images/raw_grid_00027.png,fiducial_count,How many bright gold fiducial beads are visible?,0,1,2,3 or more,C,hard,frosty,compressed,ice_rings,lower_right,lower_left,14,diagonal,medium,2
raw_q_bd6f71614f8b9e,raw_grid_00027,images/raw_grid_00027.png,best_quadrant,Which quadrant contains the most usable thin-or-medium ice holes?,upper left,upper right,lower left,lower right,D,hard,frosty,compressed,ice_rings,lower_right,lower_left,14,diagonal,medium,2
raw_q_ee4880314f9753,raw_grid_00028,images/raw_grid_00028.png,contamination_quadrant,Which quadrant contains the strongest contamination cluster?,upper left,upper right,lower left,lower right,A,easy,frosty,compressed,ice_rings,lower_left,upper_left,0,horizontal,thick,0
raw_q_578939a0a2db6f,raw_grid_00028,images/raw_grid_00028.png,crack_orientation,What is the dominant crack orientation?,no dominant crack,horizontal,vertical,diagonal,B,easy,frosty,compressed,ice_rings,lower_left,upper_left,0,horizontal,thick,0
raw_q_31cb2e20e82d6e,raw_grid_00028,images/raw_grid_00028.png,fiducial_count,How many bright gold fiducial beads are visible?,0,1,2,3 or more,A,easy,frosty,compressed,ice_rings,lower_left,upper_left,0,horizontal,thick,0
raw_q_0183d1b0774faf,raw_grid_00029,images/raw_grid_00029.png,contamination_quadrant,Which quadrant contains the strongest contamination cluster?,upper left,upper right,lower left,lower right,C,easy,clear,square,standard,lower_right,lower_left,11,none,mixed,0
raw_q_788d22181faccd,raw_grid_00029,images/raw_grid_00029.png,ice_thickness,What is the dominant ice thickness condition?,thin,medium,thick,mixed,D,easy,clear,square,standard,lower_right,lower_left,11,none,mixed,0
raw_q_4a8738c66ef0b8,raw_grid_00029,images/raw_grid_00029.png,crack_orientation,What is the dominant crack orientation?,no dominant crack,horizontal,vertical,diagonal,A,easy,clear,square,standard,lower_right,lower_left,11,none,mixed,0
raw_q_d88cfce96e146a,raw_grid_00030,images/raw_grid_00030.png,fiducial_count,How many bright gold fiducial beads are visible?,0,1,2,3 or more,D,medium,clear,offset,carbon_shadow,lower_left,lower_left,0,vertical,thick,3
raw_q_1786dadfdec943,raw_grid_00030,images/raw_grid_00030.png,crack_orientation,What is the dominant crack orientation?,no dominant crack,horizontal,vertical,diagonal,C,medium,clear,offset,carbon_shadow,lower_left,lower_left,0,vertical,thick,3
raw_q_69f182050aa1e1,raw_grid_00030,images/raw_grid_00030.png,usable_hole_count,How many usable holes are visible in the grid square?,0-3,4-6,7-9,10 or more,A,medium,clear,offset,carbon_shadow,lower_left,lower_left,0,vertical,thick,3
raw_q_35799155736487,raw_grid_00031,images/raw_grid_00031.png,usable_hole_count,How many usable holes are visible in the grid square?,0-3,4-6,7-9,10 or more,D,easy,clear,square,standard,lower_left,lower_left,15,none,medium,1
raw_q_44e1e083356ae7,raw_grid_00031,images/raw_grid_00031.png,fiducial_count,How many bright gold fiducial beads are visible?,0,1,2,3 or more,B,easy,clear,square,standard,lower_left,lower_left,15,none,medium,1
raw_q_37bfcf28ac2f04,raw_grid_00031,images/raw_grid_00031.png,ice_thickness,What is the dominant ice thickness condition?,thin,medium,thick,mixed,B,easy,clear,square,standard,lower_left,lower_left,15,none,medium,1
raw_q_3e1794f79f94fa,raw_grid_00032,images/raw_grid_00032.png,best_quadrant,Which quadrant contains the most usable thin-or-medium ice holes?,upper left,upper right,lower left,lower right,C,hard,frosty,offset,ice_rings,lower_left,lower_right,13,none,thin,2
raw_q_208d492b3b2953,raw_grid_00032,images/raw_grid_00032.png,fiducial_count,How many bright gold fiducial beads are visible?,0,1,2,3 or more,C,hard,frosty,offset,ice_rings,lower_left,lower_right,13,none,thin,2
raw_q_2345a690e3e4a6,raw_grid_00032,images/raw_grid_00032.png,contamination_quadrant,Which quadrant contains the strongest contamination cluster?,upper left,upper right,lower left,lower right,D,hard,frosty,offset,ice_rings,lower_left,lower_right,13,none,thin,2
raw_q_95e54cf6545692,raw_grid_00033,images/raw_grid_00033.png,fiducial_count,How many bright gold fiducial beads are visible?,0,1,2,3 or more,B,medium,crowded,square,beam_gradient,lower_right,lower_right,10,horizontal,mixed,1
raw_q_3779b4f85940dd,raw_grid_00033,images/raw_grid_00033.png,crack_orientation,What is the dominant crack orientation?,no dominant crack,horizontal,vertical,diagonal,B,medium,crowded,square,beam_gradient,lower_right,lower_right,10,horizontal,mixed,1
raw_q_e983bc0b491e07,raw_grid_00033,images/raw_grid_00033.png,contamination_quadrant,Which quadrant contains the strongest contamination cluster?,upper left,upper right,lower left,lower right,D,medium,crowded,square,beam_gradient,lower_right,lower_right,10,horizontal,mixed,1
raw_q_02877a5b47b502,raw_grid_00034,images/raw_grid_00034.png,fiducial_count,How many bright gold fiducial beads are visible?,0,1,2,3 or more,A,medium,frosty,compressed,standard,upper_left,lower_right,12,horizontal,thin,0
raw_q_64e7b10adf543c,raw_grid_00034,images/raw_grid_00034.png,usable_hole_count,How many usable holes are visible in the grid square?,0-3,4-6,7-9,10 or more,D,medium,frosty,compressed,standard,upper_left,lower_right,12,horizontal,thin,0
raw_q_08896ded3ab4fb,raw_grid_00034,images/raw_grid_00034.png,best_quadrant,Which quadrant contains the most usable thin-or-medium ice holes?,upper left,upper right,lower left,lower right,A,medium,frosty,compressed,standard,upper_left,lower_right,12,horizontal,thin,0
raw_q_73ed4a6b53c88f,raw_grid_00035,images/raw_grid_00035.png,usable_hole_count,How many usable holes are visible in the grid square?,0-3,4-6,7-9,10 or more,D,medium,clear,square,standard,lower_right,lower_left,12,horizontal,medium,4
raw_q_3263bf03275949,raw_grid_00035,images/raw_grid_00035.png,ice_thickness,What is the dominant ice thickness condition?,thin,medium,thick,mixed,B,medium,clear,square,standard,lower_right,lower_left,12,horizontal,medium,4
raw_q_d3a2bbe1f5b5f4,raw_grid_00035,images/raw_grid_00035.png,crack_orientation,What is the dominant crack orientation?,no dominant crack,horizontal,vertical,diagonal,B,medium,clear,square,standard,lower_right,lower_left,12,horizontal,medium,4
raw_q_1073df6e24d4dd,raw_grid_00036,images/raw_grid_00036.png,ice_thickness,What is the dominant ice thickness condition?,thin,medium,thick,mixed,A,medium,clear,square,standard,lower_left,upper_left,12,diagonal,thin,1
raw_q_15849350bc0118,raw_grid_00036,images/raw_grid_00036.png,fiducial_count,How many bright gold fiducial beads are visible?,0,1,2,3 or more,B,medium,clear,square,standard,lower_left,upper_left,12,diagonal,thin,1
raw_q_16e366eec6928d,raw_grid_00036,images/raw_grid_00036.png,crack_orientation,What is the dominant crack orientation?,no dominant crack,horizontal,vertical,diagonal,D,medium,clear,square,standard,lower_left,upper_left,12,diagonal,thin,1
raw_q_23d5e418a08013,raw_grid_00037,images/raw_grid_00037.png,ice_thickness,What is the dominant ice thickness condition?,thin,medium,thick,mixed,B,medium,low_dose,square,standard,lower_left,upper_right,11,diagonal,medium,2
raw_q_5e61121c7734dd,raw_grid_00037,images/raw_grid_00037.png,contamination_quadrant,Which quadrant contains the strongest contamination cluster?,upper left,upper right,lower left,lower right,B,medium,low_dose,square,standard,lower_left,upper_right,11,diagonal,medium,2
raw_q_0e3b0c8c7aae88,raw_grid_00037,images/raw_grid_00037.png,fiducial_count,How many bright gold fiducial beads are visible?,0,1,2,3 or more,C,medium,low_dose,square,standard,lower_left,upper_right,11,diagonal,medium,2
raw_q_3e2225af050566,raw_grid_00038,images/raw_grid_00038.png,usable_hole_count,How many usable holes are visible in the grid square?,0-3,4-6,7-9,10 or more,C,medium,frosty,offset,beam_gradient,upper_left,lower_left,8,none,mixed,2
raw_q_f0a3b95b7e9275,raw_grid_00038,images/raw_grid_00038.png,contamination_quadrant,Which quadrant contains the strongest contamination cluster?,upper left,upper right,lower left,lower right,C,medium,frosty,offset,beam_gradient,upper_left,lower_left,8,none,mixed,2
raw_q_0fe50256021261,raw_grid_00038,images/raw_grid_00038.png,best_quadrant,Which quadrant contains the most usable thin-or-medium ice holes?,upper left,upper right,lower left,lower right,A,medium,frosty,offset,beam_gradient,upper_left,lower_left,8,none,mixed,2
raw_q_125111fceb405b,raw_grid_00039,images/raw_grid_00039.png,best_quadrant,Which quadrant contains the most usable thin-or-medium ice holes?,upper left,upper right,lower left,lower right,C,hard,frosty,square,ice_rings,lower_left,upper_left,11,none,medium,0
